Symbol,Last,"1M Chg","5D Chg","Earnings ttm","P/E ttm","5Y Return","5Y Rev%",Industry,Sector,"Market Cap",Dividend(a),"52W Low","52W Low Date","52W High"
DVN,9.11,0.41,0.31,1.38,7.01,-85.40%,-68.21%,"Oil - US Exploration & Product",Oils-Energy,3731262000,0.36,4.7,03/18/20,35.39
INFO,66.61,10.63,2.13,2.23,29.36,148.23%,112.26%,"Business Information","Business Services",27365234000,0.68,44.81,03/23/20,81.65
EXC,39.07,2.73,2.77,3.22,12.16,10.83%,25.55%,"Utility - Electric Power",Utilities,36765856000,1.53,29.28,03/23/20,51.18
NI,26.62,1.44,2.07,1.32,20.14,45.83%,-19.50%,"Utility - Electric Power",Utilities,9827981000,0.84,19.56,03/16/20,30.67
CTAS,201.7,-41.62,22.47,8.82,22.53,137.53%,51.42%,"Uniform & Related","Industrial Products",20298074000,2.55,154.33,03/23/20,304.81
AJG,86.54,-3.55,4.3,3.66,23.73,70.34%,55.52%,"Insurance - Brokers",Finance,15845456000,1.8,65.09,03/18/20,109.46
TAP,46.57,4.04,3.7,4.54,10.44,-40.08%,155.15%,"Beverages - Alcohol","Consumer Staples",9741428000,2.28,34.01,03/23/20,64.32
PHM,25.68,-4.86,3.97,3.6,7.32,23.26%,75.41%,"Building - Residential & Comm",Construction,6695380000,0.48,17.12,03/23/20,47.37
APTV,62.82,-3.61,12.93,4.8,12.96,-13.45%,-15.66%,"Technology Services","Business Services",15502002000,0.88,29.22,03/18/20,99.04
VFC,59.57,-0.04,4.83,3.39,17.47,-21.98%,12.75%,"Textile - Apparel","Consumer Staples",22696400000,1.92,45.07,03/23/20,100.25
CAH,50.69,3.1,1.37,5.49,9.19,-46.34%,59.78%,"Medical - Dental Suppliers",Medical,14306169000,1.92,39.05,03/23/20,60.69
LVS,48.13,-0.92,7.39,3.26,14.68,-15.86%,-5.79%,Gaming,"Consumer Discretionary",35505808000,3.16,33.3,03/18/20,74.29
A,78.83,9.63,4.47,3.17,24.71,79.36%,-26.04%,"Electronic Test Equipment","Computers and Technology",23598502000,0.72,61.13,03/16/20,90.64
TMO,326.37,26.01,22.13,12.34,25.72,142.52%,51.23%,"Medical Instruments",Medical,125758448000,0.88,250.21,03/23/20,342.26
INTC,60.66,6.28,2.28,4.89,11.69,82.98%,28.81%,"Semi General","Computers and Technology",251266704000,1.32,42.86,05/23/19,69.29
AZO,977.14,-36.95,100.68,65.27,14.41,34.22%,25.21%,"Retail - Wholesale Auto Parts",Retail-Wholesale,22002012000,0,684.91,03/23/20,1274.41
IDXX,263.01,8.93,8.67,4.88,52.99,210.14%,61.99%,"Medical Instruments",Medical,21709386000,0,168.65,03/23/20,296.25
