Symbol,Last,"1M Chg","5D Chg","Earnings ttm","P/E ttm","5Y Return","5Y Rev%",Industry,Sector,"Market Cap",Dividend(a),"52W Low","52W Low Date","52W High"
A,74.03,-4.53,2.41,3.17,22.21,73.01%,-26.04%,"Electronic Test Equipment","Computers and Technology",23025648000,0.72,61.13,03/16/20,90.64
AAL,10.22,-5.75,-1.97,4.91,1.91,-80.29%,7.31%,"Transportation - Airline",Transportation,4047561000,0.4,9.09,04/03/20,35.24
AAP,99.44,-28.47,6.12,8.2,10.32,-36.04%,-1.37%,"Retail - Wholesale Auto Parts",Retail-Wholesale,6633692000,1,71.33,03/23/20,182.56
AAPL,259.43,-29.6,5.14,12.66,19.07,110.40%,42.33%,"Computer - Mini","Computers and Technology",1148432256000,3.08,170.27,06/03/19,327.85
ABBV,75.39,-13.43,-0.8,8.94,8.21,21.58%,66.66%,"Large Cap Pharma",Medical,111828448000,4.72,62.55,03/23/20,97.86
ABC,87.2,1.39,-1.3,7.24,11.23,-23.37%,50.20%,"Medical - Dental Suppliers",Medical,17766336000,1.68,70.55,04/22/19,97.5
ABMD,152.78,-4.3,7.62,4.21,33.59,123.30%,318.99%,"Medical Instruments",Medical,6771165000,0,119.01,03/23/20,286.5
ABT,81.93,0.19,3.02,3.24,24.52,78.88%,57.57%,"Medical Products",Medical,145888816000,1.44,61.61,03/23/20,92.45
ACN,164.12,-14.63,0.86,7.67,19.84,79.73%,35.58%,Consulting,"Business Services",105553336000,3.2,137.15,03/23/20,216.39
ADBE,308.93,-27.84,-9.31,7.07,41.53,336.27%,169.38%,"Computer - Software","Computers and Technology",153757152000,0,255.13,03/18/20,386.74
ADI,96.25,-10.75,6.6,4.84,17.88,51.06%,109.13%,"Semi Analog & Mixed","Computers and Technology",35275476000,2.48,79.07,03/18/20,127.3
ADM,35.98,-1.66,0.8,3.25,10.66,-25.89%,-20.38%,"Agriculture Operations","Consumer Staples",19936902000,1.44,28.92,03/23/20,47.2
ADP,136.96,-22.19,0.28,5.77,22.28,67.19%,16.13%,Outsourcing,"Business Services",60294444000,3.64,103.11,03/18/20,182.32
