Symbol,Last,"1M Chg","5D Chg","Earnings ttm","P/E ttm","5Y Return","5Y Rev%",Industry,Sector,"Market Cap",Dividend(a),"52W Low","52W Low Date","52W High"
NFLX,396.72,60.42,34.96,4.13,89.86,354.04%,266.17%,"Broadcast - Radio & TV","Consumer Discretionary",162674528000,0,252.28,09/24/19,400.51
PAYX,64.15,-7.41,4.6,3.01,21.61,37.82%,49.77%,Outsourcing,"Business Services",23868896000,2.48,47.87,03/18/20,90.54
DGX,86.43,-10.34,13.09,6.56,13.39,19.17%,3.91%,"Medical - Outpatient & Hm Care",Medical,11980255000,2.24,73.02,04/03/20,118.58
NEE,236.21,14.65,14.57,8.38,27.86,137.79%,12.83%,"Utility - Electric Power",Utilities,120048128000,5.6,174.8,03/23/20,283.35
VTR,32.56,-0.77,10.04,1.19,7.83,-53.64%,25.91%,"REIT - Equity Trust Other",Finance,12602667000,3.17,13.35,03/18/20,75.4
URI,103.76,12.75,12.69,19.61,5.69,11.66%,64.49%,"Building & Construction - Misc",Construction,7978942000,0,58.85,03/18/20,170.04
PWR,32.32,-0.13,1.76,3.06,11.05,15.25%,54.27%,"Engineering & R&D Services","Industrial Products",4781177000,0.2,23.77,03/23/20,44.09
MS,39.58,2.08,5.73,4.97,7.92,11.78%,20.84%,"Finance - Investment Brokers",Finance,64723552000,1.4,27.2,03/18/20,57.57
MKC,148.69,13.69,1.81,5.31,28.08,101.78%,26.02%,"Food - Misc & Diversified","Consumer Staples",20508476000,2.48,112.22,03/23/20,174.58
GLW,20.41,-2.39,2.5,1.75,11.75,-5.70%,18.40%,"Communications Components","Computers and Technology",16152292000,0.88,17.44,03/23/20,35.34
DOW,35.23,9.54,7.26,2.55,0,0.00%,0.00%,"Chemical - Diversified","Basic Materials",27152382000,2.8,21.95,03/16/20,59.05
UHS,100.72,-4.37,15.34,9.99,10.71,-12.75%,41.08%,"Medical - Hospitals",Medical,9062166000,0.8,65.2,03/19/20,157.79
AES,14.19,1.19,1.95,1.37,10.31,11.85%,-40.58%,"Utility - Electric Power",Utilities,9774625000,0.57,8.11,03/18/20,21.23
PPG,93.68,-0.51,13.25,6.21,15.03,-14.24%,-1.39%,"Chemical - Diversified","Basic Materials",22923374000,2.04,69.77,03/19/20,134.36
RSG,78.89,-6.09,6.36,3.34,23.43,107.88%,17.19%,"Waste Removal Svcs","Business Services",26113100000,1.62,65.37,03/23/20,100.91
ANET,202.08,25.32,7.44,8.74,24.55,223.09%,312.72%,"Communications Components","Computers and Technology",16053705000,0,156.63,03/23/20,331.27
EXC,37.75,1.39,5,3.22,11.67,18.67%,25.55%,"Utility - Electric Power",Utilities,38129360000,1.53,29.28,03/23/20,51.18
AVB,161.41,-31.75,29.19,5.64,17.21,-0.56%,37.96%,"REIT - Equity Trust Resident",Finance,23553410000,6.36,118.17,03/23/20,229.4
CF,29.91,2.23,4.14,2.09,14.28,-46.76%,-3.23%,Fertilizers,"Basic Materials",6703463000,1.2,19.73,03/18/20,55.15
LDOS,92.08,1.77,4.14,5.16,18.5,133.23%,119.12%,"Aerospace - Defense",Aerospace,13540715000,1.36,64.69,04/16/19,125.84
ED,84.84,-3.23,6.94,4.36,19.23,44.31%,-2.67%,"Utility - Electric Power",Utilities,29352174000,3.06,62.03,03/23/20,95.1
LNT,51.28,0.38,6.13,2.31,22.18,71.01%,8.88%,"Utility - Electric Power",Utilities,13020948000,1.52,37.66,03/23/20,60.28
CMG,744.08,113.72,133.07,14.07,51.54,12.73%,35.98%,"Retail - Restaurants",Retail-Wholesale,21439968000,0,415,03/18/20,940.28
MTB,110.76,-1.99,19.09,13.79,7.81,-5.02%,46.56%,"Banks - Major Regional",Finance,14911878000,4.4,87.64,03/23/20,174.93
PSA,201.43,-9.91,7.35,7.29,18.55,9.74%,29.67%,"REIT - Equity Trust Other",Finance,36452768000,8,155.37,03/23/20,266.76
AIG,25.63,-2.87,5.17,4.6,5.25,-53.79%,-22.76%,"Insurance - Multi Line",Finance,23180620000,1.28,16.07,03/18/20,58.66
AWK,127.24,-1.05,13.92,3.61,34.72,145.80%,19.88%,"Utility - Water Supply",Utilities,23849386000,2,92,03/23/20,141.7
EOG,43.29,8.49,3.4,4.98,9.09,-53.90%,-3.63%,"Oil - US Exploration & Product",Oils-Energy,26087704000,1.15,27,03/18/20,107.89
DOV,86.37,-4.38,9.01,5.94,15.08,53.43%,-7.95%,"Machinery - General Industrial","Industrial Products",12882550000,1.96,62.95,03/23/20,120.26
EVRG,60.75,1.66,8.95,2.91,20.91,67.24%,97.86%,"Other Alt Energy",Oils-Energy,14302182000,2.02,42.01,03/23/20,76.57
FFIV,120.7,15,13.4,7.98,15.15,7.89%,29.47%,"Internet - Software","Computers and Technology",7624214000,0,79.78,03/18/20,168.94
HBAN,8.72,-0.78,1.89,1.27,6.94,-18.77%,91.33%,"Banks - Midwest",Finance,9198225000,0.6,6.82,04/03/20,15.63
