Symbol,Last,"1M Chg","5D Chg","Earnings ttm","P/E ttm","5Y Return","5Y Rev%",Industry,Sector,"Market Cap",Dividend(a),"52W Low","52W Low Date","52W High"
A,74.36,-4.2,1.69,3.17,22.8,61.70%,-26.04%,"Electronic Test Equipment","Computers and Technology",21805622000,0.72,61.13,03/16/20,90.64
AAL,9.5,-6.47,-2.75,4.91,2.05,-80.33%,7.31%,"Transportation - Airline",Transportation,4000694000,0.4,9.09,04/03/20,35.24
AAP,95.81,-32.1,-0.69,8.2,10.78,-43.64%,-1.37%,"Retail - Wholesale Auto Parts",Retail-Wholesale,5860996000,1,71.33,03/23/20,182.56
AAPL,262.47,-26.56,7.66,12.66,19.35,89.94%,42.33%,"Computer - Mini","Computers and Technology",1056284608000,3.08,170.27,06/03/19,327.85
ABBV,75.73,-13.09,0.49,8.94,8.4,18.34%,66.66%,"Large Cap Pharma",Medical,108343504000,4.72,62.55,03/23/20,97.86
ABC,86.29,0.48,-1.81,7.24,11.59,-29.48%,50.20%,"Medical - Dental Suppliers",Medical,16747174000,1.68,70.55,04/22/19,97.5
ABMD,150.26,-6.82,1.27,4.21,34.03,103.89%,318.99%,"Medical Instruments",Medical,6371907000,0,119.01,03/23/20,286.5
ABT,82.73,0.99,3.39,3.24,24.52,68.50%,57.57%,"Medical Products",Medical,140104752000,1.44,61.61,03/23/20,92.45
ACN,166.05,-12.7,-3.77,7.67,20.37,60.68%,35.58%,Consulting,"Business Services",96717488000,3.2,137.15,03/23/20,216.39
ADBE,319.13,-17.64,0.74,7.07,42.99,283.65%,169.38%,"Computer - Software","Computers and Technology",141461584000,0,255.13,03/18/20,386.74
ADI,95.8,-11.2,4.83,4.84,18.12,34.74%,109.13%,"Semi Analog & Mixed","Computers and Technology",31873122000,2.48,79.07,03/18/20,127.3
ADM,35.78,-1.86,-0.05,3.25,10.56,-27.75%,-20.38%,"Agriculture Operations","Consumer Staples",19307258000,1.44,28.92,03/23/20,47.2
ADP,139.65,-19.5,1.83,5.77,22.8,48.91%,16.13%,Outsourcing,"Business Services",55510616000,3.64,103.11,03/18/20,182.32
ADS,31.16,-41.45,-3.14,16.33,1.73,-91.19%,5.25%,"Financial Transaction Services","Business Services",1261666000,2.52,20.51,03/19/20,182.95
ADSK,152.32,-21.1,-3.59,1.41,97.2,121.55%,30.34%,"Computer - Software","Computers and Technology",30513418000,0,125.38,03/18/20,211.58
AEE,74.29,-11.06,-3.88,3.35,21.39,63.22%,-2.36%,"Utility - Electric Power",Utilities,16963168000,1.98,58.74,03/23/20,87.65
AEP,78.59,-19.11,-5.12,4.25,18.07,28.57%,-8.57%,"Utility - Electric Power",Utilities,35875392000,2.8,65.14,03/23/20,104.97
AES,13.62,-3.2,-0.04,1.37,9.52,-7.27%,-40.58%,"Utility - Electric Power",Utilities,8127813000,0.57,8.11,03/18/20,21.23
AFL,35.22,-5.56,-1.04,4.44,7.17,0.46%,-1.85%,"Insurance - Accident & Health",Finance,23416580000,1.12,23.07,03/18/20,57.18
AGN,178.15,-13.8,1.84,17.64,10.06,-40.39%,23.17%,"Medical - Generic Drugs",Medical,57808948000,2.96,114.27,06/17/19,202.21
AIG,21.52,-16.32,-4.19,4.6,4.62,-63.85%,-22.76%,"Insurance - Multi Line",Finance,17870214000,1.28,16.07,03/18/20,58.66
AIV,35.52,-14.29,0.74,3.19,12.49,-19.01%,-7.12%,"REIT - Equity Trust Resident",Finance,4563215000,1.64,24.53,03/24/20,55.68
AIZ,103.93,-15.76,-3.4,8.49,11.79,59.82%,-2.84%,"Insurance - Multi Line",Finance,5907620000,2.52,76.27,03/19/20,142.61
AJG,82.21,-18.63,-1.01,3.66,21.52,60.04%,55.52%,"Insurance - Brokers",Finance,14459430000,1.8,65.09,03/18/20,109.46
AKAM,97.79,7.17,3.6,3.55,26.23,33.46%,47.34%,"Internet - Services","Computers and Technology",15437068000,0,73.19,06/03/19,103.34
