Symbol,Last,"1M Chg","5D Chg","Earnings ttm","P/E ttm","5Y Return","5Y Rev%",Industry,Sector,"Market Cap",Dividend(a),"52W Low","52W Low Date","52W High"
OXY,12.48,2.41,-2.69,1.62,7.53,-82.91%,5.60%,"Oil - US Integrated",Oils-Energy,12260226000,3.16,9,03/18/20,63.42
NDAQ,110.25,29.55,6.76,5,21.66,129.03%,21.77%,"Securities Exchanges",Finance,18355934000,1.88,71.66,03/23/20,120.23
ETFC,39.54,10.5,-0.68,4.13,9.47,41.53%,55.77%,"Finance - Investment Brokers",Finance,8812227000,0.56,25.76,03/18/20,57.3
JNJ,150.72,30.63,10.75,8.68,16.85,50.40%,10.40%,"Large Cap Pharma",Medical,400778240000,3.8,109.16,03/23/20,154.5
LOW,96.52,29.76,0.92,5.72,16.16,32.72%,28.32%,"Building Prds Retail - Wsale",Retail-Wholesale,73305544000,2.2,60,03/19/20,126.73
CHD,72.81,7.06,4.71,2.48,29.29,75.22%,32.15%,"Soap and Cleaning Products","Consumer Staples",18076826000,0.96,47.98,03/16/20,80.99
LDOS,98.32,25.74,6.17,5.16,17.99,135.54%,119.12%,"Aerospace - Defense",Aerospace,14082570000,1.36,64.85,04/22/19,125.84
WYNN,76.49,25.67,8.34,2.6,27.8,-39.69%,21.67%,Gaming,"Consumer Discretionary",8435705000,4,35.84,03/18/20,153.41
LIN,186.86,35.28,0.47,7.35,24.92,0.00%,130.00%,"Oil - Field Services",Oils-Energy,102742776000,0,146.71,03/16/20,227.85
CTVA,25.05,2.72,-1.31,1.1,0,0.00%,0.00%,"Agriculture Operations","Consumer Staples",19114210000,0.52,20.38,03/18/20,32.78
MSCI,318.65,70.79,4.34,6.44,48.04,405.55%,56.30%,"Business Software Services","Computers and Technology",26965054000,2.72,206.82,08/05/19,335.43
AAP,116.31,42.58,7.61,8.2,14.33,-20.02%,-1.37%,"Retail - Wholesale Auto Parts",Retail-Wholesale,8211918000,1,71.33,03/23/20,175.39
ARE,152.05,30.35,6.31,3.09,21.85,64.77%,110.67%,"REIT - Equity Trust Other",Finance,19599344000,4.12,109.22,03/23/20,175.74
PYPL,111.8,23.97,4.67,2.35,46.09,0.00%,121.46%,"Internet - Software","Computers and Technology",131195136000,0,82.07,03/23/20,124.45
