Symbol,Last,"1M Chg","5D Chg","Earnings ttm","P/E ttm","5Y Return","5Y Rev%",Industry,Sector,"Market Cap",Dividend(a),"52W Low","52W Low Date","52W High"
CARR,14.26,2.26,-0.79,0,0,0.00%,0.00%,N/A,N/A,0,0,11.5,03/24/20,17.25
EFX,122.68,-31.5,9.21,5.61,20.29,26.57%,43.97%,"Financial Transaction Services","Business Services",14177909000,1.56,103.01,03/23/20,164.77
AFL,37.77,-3.01,5.87,4.44,7.93,11.63%,-1.85%,"Insurance - Accident & Health",Finance,25800866000,1.12,23.07,03/18/20,57.18
COTY,5.88,-2.72,1.42,0.63,7.94,-77.82%,90.01%,"Cosmetics & Toiletries","Consumer Staples",4228658000,0.5,3.02,03/18/20,14.14
CMS,60.64,-7.25,4.93,2.49,23.63,66.20%,-4.65%,"Utility - Electric Power",Utilities,16296487000,1.63,46.03,03/23/20,69.17
PRU,55.02,-14.79,8.02,11.69,4.2,-34.21%,19.78%,"Insurance - Multi Line",Finance,20618052000,4.4,38.62,03/23/20,106.39
MAS,39.54,-2.56,6.34,2.54,13.93,45.85%,-21.29%,"Building & Construction - Misc",Construction,9867075000,0.54,27.04,03/23/20,50.06
PFG,30.44,-11.84,3.04,5.59,5.06,-43.25%,54.83%,"Finance - Investment Mgmt",Finance,7913761000,2.24,23.31,03/23/20,60.81
ALGN,184.41,-40.76,27.21,4.96,35.63,227.00%,216.00%,"Medical - Dental Suppliers",Medical,13746335000,0,127.88,03/19/20,334.64
NI,25.47,-3.99,2.41,1.32,18.6,42.20%,-19.50%,"Utility - Electric Power",Utilities,9216361000,0.84,19.56,03/16/20,30.67
YUM,75.37,-14.03,7.72,3.55,19.86,24.36%,-57.85%,"Retail - Restaurants",Retail-Wholesale,21463648000,1.88,54.95,03/23/20,119.72
SEE,28.59,-1.33,4.07,2.81,9.21,-38.55%,-38.18%,"Containers - Paper Products","Industrial Products",4186944000,0.64,17.06,03/19/20,47.13
GPC,73.25,-9.6,10.51,5.7,11.77,-24.34%,26.40%,"Auto - Truck Replacement Parts",Auto-Tires-Trucks,10083696000,3.16,49.68,03/23/20,114
SO,58.18,-8.69,8.04,3.11,17.81,24.96%,15.99%,"Utility - Electric Power",Utilities,58109048000,2.48,41.96,03/23/20,71.1
SLG,48.72,-31.86,8.99,3.08,6.16,-63.55%,-18.49%,"REIT - Equity Trust Other",Finance,3599038000,1.18,37.5,04/01/20,96.39
LH,141.16,-38.55,24.99,11.31,11.18,7.27%,92.21%,"Medical - Dental Suppliers",Medical,12958394000,0,98.02,03/19/20,196.36
GL,75.21,-11.39,9.19,6.74,10.66,26.22%,14.21%,"Finance - Misc Services",Finance,7657407000,0.75,56.74,03/23/20,111.43
STZ,157.77,-21.3,20.89,9.13,15.58,28.98%,38.41%,"Beverages - Alcohol","Consumer Staples",28668324000,3,104.28,03/23/20,214.48
SHW,488.31,-52.69,63.33,21.09,21.75,64.23%,60.84%,"Paint & Related Products",Construction,42537384000,5.36,325.43,03/18/20,599.95
HUM,337.26,-29.75,38.51,17.84,18.36,80.33%,33.79%,"Medical - HMO",Medical,42286284000,2.5,208.25,03/23/20,384.99
MYL,15.14,-0.26,0.88,4.42,3.18,-79.42%,48.98%,"Medical - Generic Drugs",Medical,7417464000,0,12.75,03/16/20,28.45
ADI,101.4,-5.6,17.31,4.84,19.79,51.77%,109.13%,"Semi Analog & Mixed","Computers and Technology",35441176000,2.48,79.07,03/18/20,127.3
HST,11.26,-2.2,0.98,1.26,5.89,-48.11%,2.15%,"REIT - Equity Trust Other",Finance,7666633000,0.8,7.86,03/17/20,19.99
JWN,19,-10.04,5.71,3.36,4.82,-76.40%,14.94%,"Retail - Apparel & Shoes",Retail-Wholesale,2820482000,0,12.27,04/03/20,46
DGX,87.84,-24.18,9.07,6.56,12,10.73%,3.91%,"Medical - Outpatient & Hm Care",Medical,11131482000,2.24,73.02,04/03/20,118.58
SIVB,168.58,-5.86,28.57,21.73,7.33,26.06%,141.15%,"Banks - West",Finance,8252675000,0,127.39,03/16/20,270.95
PBCT,11.2,-2.89,0.88,1.38,7.51,-29.26%,67.38%,"Finance - Savings & Loan",Finance,4614984000,0.71,9.37,04/03/20,17.66
WFC,30.28,-6.81,3.71,4.35,6.58,-46.77%,17.59%,"Banks - Major Regional",Finance,117651984000,2.04,25.1,03/23/20,54.75
KIM,9.63,-7.7,1.33,0.8,5.89,-63.83%,16.60%,"REIT - Equity Trust Retail",Finance,3957457000,1.12,7.45,04/02/20,21.86
AEP,83.3,-14.4,8.73,4.25,18.49,41.31%,-8.57%,"Utility - Electric Power",Utilities,38968100000,2.8,65.14,03/23/20,104.97
WDC,45.34,-9.39,6.67,0.33,131.24,-56.90%,9.51%,"Computer - Storage Devices","Computers and Technology",12812226000,2,27.4,03/19/20,72
IRM,25.95,-5.82,3.73,0.85,10.18,-33.13%,36.72%,"REIT - Equity Trust Other",Finance,7085878000,2.47,21,04/02/20,36.65
CTVA,26.05,0.75,3.54,1.1,0,0.00%,0.00%,"Agriculture Operations","Consumer Staples",18379912000,0.52,20.38,03/18/20,32.78
NCLH,11.72,-15.38,2.17,5.09,1.97,-78.91%,106.74%,"Leisure & Recreation Services","Consumer Discretionary",2347365000,0,7.03,03/18/20,59.78
FRT,80.27,-41.1,10.86,4.59,11.48,-45.76%,36.39%,"REIT - Equity Trust Retail",Finance,5702731000,4.2,64.68,04/03/20,141.35
SYK,176.43,-9.45,31.76,8.26,20.06,79.23%,53.84%,"Medical Products",Medical,62142732000,2.3,124.54,03/23/20,226.3
WLTW,190.05,-9.66,33.86,10.97,15.99,37.90%,137.74%,"Insurance - Brokers",Finance,23000798000,2.72,143.34,03/23/20,220.97
IFF,121.25,-1.48,20.52,5.86,18.6,-1.94%,66.42%,"Consumer Prdts - Misc Staple","Consumer Staples",12177564000,3,92.14,03/23/20,152.95
